name,region,Export value,Import value,Oil exports,Oil imports,Energy consumption,Carbon dioxide emissions,Industrial production growth rate,Revenue from coal,Revenues from forests resources
China,East and Southeast Asia,3554000000000,3402000000000,5218000,2335000,723582000.0,10773248000.0,37.5,8.62,20.27
United States,North America,2557000000000,3091000000000,2671000,2175000,639951000.0,5144361000.0,33.52,4.17,13.27
Germany,Europe,2004000000000,1775000000000,2406000,2148000,547976000.0,2314738000.0,22.04,2.4,10.31
France,Europe,920864000000,957717000000,1820000,1160000,471788000.0,1848070000.0,21.28,1.15,9.24
Japan,East and Southeast Asia,919158000000,941671000000,1784000,1100000,415184000.0,1103234000.0,20.88,1.06,8.99
United Kingdom,Europe,874500000000,898719000000,1396000,908800,403700000.0,726881000.0,20.33,0.99,8.72
Netherlands,Europe,839600000000,735700000000,1305000,907500,381985000.0,686954000.0,20.05,0.78,7.32
Korea South,East and Southeast Asia,771202000000,733459000000,1115000,886800,333833000.0,646038000.0,19.38,0.75,6.92
Hong Kong,East and Southeast Asia,751260000000,717119000000,848400,883800,330507000.0,612084000.0,17.41,0.57,6.46
Singapore,East and Southeast Asia,733782000000,698103000000,817700,867500,310068000.0,579925000.0,16.44,0.54,6.19
Italy,Europe,687948000000,637934000000,705500,653300,304414000.0,563543000.0,16.25,0.53,5.81
Ireland,Europe,677028000000,609280000000,680800,619600,296949000.0,470358000.0,16.0,0.45,4.81
India,South Asia,643080000000,609256000000,615900,609600,292022000.0,463739000.0,15.89,0.45,4.56
Canada,North America,611146000000,544752000000,613800,601400,267739000.0,456670000.0,15.38,0.42,4.54
Switzerland,Europe,571376000000,509018000000,578800,591500,242346000.0,417870000.0,15.33,0.4,4.45
Russia,Central Asia,550035000000,480522000000,562400,560000,241004000.0,398084000.0,15.26,0.35,4.41
Mexico,North America,522235000000,477544000000,494000,490400,234216000.0,391792000.0,15.08,0.34,4.34
Belgium,Europe,515625000000,476678000000,485000,464800,227898000.0,338425000.0,13.46,0.31,3.96
Spain,Europe,497868000000,380699000000,440600,422500,219606000.0,332041000.0,13.4,0.27,3.81
Poland,Europe,411621000000,379947000000,432800,418300,216571000.0,305273000.0,13.32,0.25,3.75
Australia,Australia and Oceania,389794000000,338021000000,397200,405700,210882000.0,304040000.0,12.46,0.21,3.51
Taiwan,East and Southeast Asia,388490000000,308744000000,371900,402100,186804000.0,280624000.0,11.76,0.2,3.34
Vietnam,East and Southeast Asia,339984000000,298712000000,371100,392000,180726000.0,279206000.0,10.91,0.14,3.17
Brazil,South America,317175000000,297924000000,370900,304600,176312000.0,276236000.0,10.8,0.14,3.01
United Arab Emirates,Middle East,308500000000,295780000000,351200,282800,175578000.0,263689000.0,10.67,0.12,2.65
Thailand,East and Southeast Asia,296002000000,285578000000,349600,280200,174629000.0,254764000.0,10.4,0.1,2.6
Sweden,Europe,290793000000,265769000000,325800,264500,172009000.0,249929000.0,10.29,0.08,2.5
Saudi Arabia,Middle East,286502000000,263269000000,279000,255100,171299000.0,238983000.0,10.27,0.07,2.47
Turkey (Turkiye),Middle East,282851000000,230188000000,278300,229600,163060000.0,235137000.0,9.83,0.06,2.36
Austria,Europe,268277000000,229200000000,245300,229300,161972000.0,214416000.0,9.65,0.06,2.25
Malaysia,East and Southeast Asia,256659000000,217715000000,208400,223400,161174000.0,193869000.0,9.56,0.05,2.24
Indonesia,East and Southeast Asia,246870000000,213016000000,174800,222300,160669000.0,193205000.0,9.47,0.04,2.19
Denmark,Europe,234262000000,208121000000,167500,211400,152767000.0,185686000.0,9.43,0.04,2.08
Czechia,Europe,204785000000,196243000000,166200,195200,151053000.0,151633000.0,9.37,0.03,2.04
Norway,Europe,199074000000,148150000000,155800,192200,147107000.0,143479000.0,9.12,0.03,2.02
Luxembourg,Europe,177831000000,147577000000,143500,168200,145540000.0,142282000.0,9.12,0.03,1.9
Hungary,Europe,148229000000,140444000000,141600,167000,140505000.0,128247000.0,9.11,0.03,1.89
Israel,Middle East,143884000000,132056000000,133700,166400,137918000.0,111922000.0,8.87,0.03,1.69
South Africa,Africa,130885000000,126508000000,111700,165100,134836000.0,109037000.0,8.73,0.03,1.61
Finland,Europe,116905000000,124578000000,106100,153900,133920000.0,104494000.0,8.63,0.03,1.57
Romania,Europe,115879000000,116277000000,105900,151100,133674000.0,103708000.0,8.6,0.03,1.56
Slovakia,Europe,107430000000,112413000000,105600,135500,129665000.0,102965000.0,8.58,0.02,1.52
Portugal,Europe,105648000000,107358000000,104800,135300,124163000.0,99533000.0,8.56,0.02,1.49
Qatar,Middle East,105549000000,104806000000,103000,134200,123755000.0,96180000.0,8.52,0.02,1.48
Iran,Middle East,101400000000,103532000000,92720,129200,122673000.0,92582000.0,8.51,0.02,1.46
Chile,South America,100634000000,102086000000,81100,127100,119894000.0,92493000.0,8.49,0.01,1.39
Philippines,East and Southeast Asia,87790000000,94430000000,79930,126600,113273000.0,88333000.0,8.49,0.01,1.3
Greece,Europe,87521000000,94039000000,64120,122200,112831000.0,81007000.0,8.37,0.01,1.3
Argentina,South America,87415000000,85303000000,62640,121400,112606000.0,76321000.0,8.26,0.01,1.26
Venezuela,South America,83401000000,84175000000,58720,111600,108212000.0,70163000.0,8.22,0.01,1.21
Ukraine,Europe,81504000000,76392000000,58360,109700,108022000.0,68746000.0,8.1,0.01,1.12
Iraq,Middle East,78261000000,76390000000,56900,108500,107154000.0,65540000.0,7.91,0.01,1.02
Kuwait,Middle East,77121000000,72362000000,53780,102600,107118000.0,61092000.0,7.81,0.0,1.02
Puerto Rico,Central America and the Caribbean,73170000000,70840000000,52200,98860,105687000.0,60200000.0,7.78,0.0,0.91
Kazakhstan,Central Asia,66132000000,66107000000,49960,97900,103924000.0,54996000.0,7.76,0.0,0.85
Peru,South America,66098000000,62862000000,47360,93060,102558000.0,54695000.0,7.61,0.0,0.85
